userid,movieid,rating,date
888,26377,0.5,9/17/2009 0:00
888,53324,0.5,9/17/2009 0:00
5153,3801,4.5,5/17/2009 0:00
5153,7877,4.5,3/25/2009 0:00
5153,9229,4,1/8/2009 0:00
5153,9250,3.5,1/8/2009 0:00
1896,34815,4,12/18/2008 0:00
1896,60244,4.5,12/18/2008 0:00
234,13762,3.5,4/29/2009 0:00
234,15179,5,4/29/2009 0:00
234,15181,5,4/29/2009 0:00
234,17293,4.5,4/29/2009 0:00
234,51694,5,4/29/2009 0:00
234,55248,4.5,5/16/2009 0:00
6120,24010,5,12/8/2008 0:00
6120,20644,5,12/8/2008 0:00
8691,62530,5,4/7/2009 0:00
761,63684,5,1/27/2009 0:00
8189,9711,4.5,3/13/2009 0:00
8189,9965,5,3/13/2009 0:00
8189,20445,4,3/13/2009 0:00
8189,31023,4,3/13/2009 0:00
8189,36096,4.5,3/13/2009 0:00
8189,35976,4,3/13/2009 0:00
236,54336,1.5,3/2/2009 0:00
236,62530,0.5,3/2/2009 0:00
5521,8784,2.5,7/10/2009 0:00
5521,18330,2.5,8/8/2009 0:00
5521,18858,3.5,7/10/2009 0:00
5521,20641,3,7/10/2009 0:00
5521,57699,1.5,7/10/2009 0:00
899,4329,5,3/27/2008 0:00
899,20445,5,1/27/2008 0:00
899,20327,5,4/10/2008 0:00
899,24941,4,1/20/2008 0:00
899,26324,5,1/18/2008 0:00
899,23789,5,1/15/2008 0:00
899,31276,4,7/17/2008 0:00
1202,7684,1,7/6/2009 0:00
1202,8784,3,7/7/2009 0:00
1202,26400,2.5,7/7/2009 0:00
1202,39530,2,7/6/2009 0:00
1202,54146,5,7/6/2009 0:00
1202,66208,1.5,7/6/2009 0:00
1925,46995,2.5,12/26/2008 0:00
1925,53968,1,12/26/2008 0:00
6163,8538,4,1/26/2009 0:00
6163,43529,3,1/26/2009 0:00
6163,60645,2.5,1/26/2009 0:00
6163,62530,3.5,1/26/2009 0:00
5756,34060,3,3/30/2009 0:00
5756,47784,3.5,3/30/2009 0:00
5756,62530,3,3/30/2009 0:00
239,5802,4,2/20/2009 0:00
239,5591,4,2/20/2009 0:00
239,5708,1,2/20/2009 0:00
239,8039,5,2/20/2009 0:00
239,9533,4,2/20/2009 0:00
239,12185,2,2/20/2009 0:00
239,16390,4,2/22/2009 0:00
239,16969,3,2/22/2009 0:00
239,20800,4.5,2/20/2009 0:00
239,17971,5,2/20/2009 0:00
288,77,4,6/30/2007 0:00
288,348,3.5,4/23/2007 0:00
288,81,4,7/3/2007 0:00
288,101,4,2/26/2008 0:00
288,109,5,6/30/2007 0:00
288,464,4,6/13/2008 0:00
288,465,5,6/13/2008 0:00
288,496,5,6/13/2008 0:00
288,66613,3,6/13/2008 0:00
6198,29730,4.5,3/1/2009 0:00
6198,56915,4.5,12/11/2008 0:00
6198,56916,5,12/11/2008 0:00
240,3301,3.5,2/1/2009 0:00
240,5806,3.5,2/1/2009 0:00
240,31421,4.5,2/1/2009 0:00
240,40282,4.5,2/1/2009 0:00
240,52880,4,2/1/2009 0:00
240,59471,5,2/1/2009 0:00
901,20279,4.5,4/23/2009 0:00
901,54336,5,3/3/2009 0:00
901,62530,5,3/3/2009 0:00
5533,3317,5,4/6/2009 0:00
5533,5806,3.5,4/6/2009 0:00
5533,5809,2,4/6/2009 0:00
5533,12505,0.5,5/1/2009 0:00
5533,14392,1.5,2/15/2009 0:00
5533,16713,0.5,5/1/2009 0:00
5533,19610,3.5,9/22/2009 0:00
5533,19787,5,3/5/2009 0:00
5533,16969,2.5,5/1/2009 0:00
904,17422,1,1/16/2009 0:00
904,26405,2.5,1/16/2009 0:00
904,43529,1,1/16/2009 0:00
904,60645,1,1/16/2009 0:00
241,65325,3,3/18/2009 0:00
5924,25422,3,4/22/2009 0:00
5924,27008,4,4/22/2009 0:00
5924,37988,4,4/22/2009 0:00
5924,40372,3.5,4/22/2009 0:00
762,47784,4,4/2/2009 0:00
762,62530,1,4/2/2009 0:00
762,65325,5,3/18/2009 0:00
1206,2460,4.5,3/14/2009 0:00
1206,20917,5,3/14/2009 0:00
1206,47784,5,3/14/2009 0:00
1206,55828,5,3/14/2009 0:00
1206,56916,5,3/14/2009 0:00
1206,65325,5,3/14/2009 0:00
6085,7877,5,3/31/2009 0:00
6085,26791,5,3/31/2009 0:00
6085,32983,5,3/31/2009 0:00
6085,34060,5,3/31/2009 0:00
6085,62537,5,3/31/2009 0:00
6085,63684,5,3/31/2009 0:00
6085,65325,5,3/31/2009 0:00
9259,43588,3,10/6/2008 0:00
9259,54715,3.5,10/6/2008 0:00
6070,2194,2,8/14/2009 0:00
6070,14070,1,8/15/2009 0:00
6070,20641,3,8/14/2009 0:00
6070,27152,3,8/15/2009 0:00
6070,52705,2.5,8/15/2009 0:00
6070,60512,3,8/15/2009 0:00
568,43529,5,12/29/2008 0:00
568,62530,4.5,6/24/2009 0:00
8831,33488,1.5,3/3/2009 0:00
8831,62530,2,6/27/2009 0:00
4717,17293,5,4/29/2009 0:00
4717,46203,5,4/29/2009 0:00
4717,43004,5,4/29/2009 0:00
4717,46431,5,4/29/2009 0:00
4717,65325,5,4/29/2009 0:00
1980,62530,5,6/9/2009 0:00
6887,20380,3,4/15/2009 0:00
6887,26405,5,3/1/2009 0:00
6887,54336,3.5,3/1/2009 0:00
6887,62530,4,3/1/2009 0:00
